Binomial.1.2,k_medoid_herbivore,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Notes,Food.Handling.Source,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Bubalus_palaeokerabau,yes,Assumed isometric based on length of metacarpal,Zoologische Verhandelingen van de Museum Leiden 38:1-112 (1958),Bubalus_arnee,Zoologische Verhandelingen van de Museum Leiden 38:1-112 (1958),Estimated Isotopes (C13) Species,"Janssen, R., Joordens, J. C. A., Koutamanis, D. S., Puspaningrum, M. R., de Vos, J., van der Lubbe, J. H. J. L., â€_ Vonhof, H. B. (2016). Tooth enamel stable isotopes of Holocene and Pleistocene fossil fauna reveal glacial and interglacial paleoenvironments of hominins in Indonesia. Quaternary Science Reviews, 144, 145â€“154. https://doi.org/10.1016/J.QUASCIREV.2016.02.028",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Bubalus_quarlesi,yes,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA,Imputed,NA,It is not clear whether this is a separate species to B. mindorensis or not. As a result it is difficult to obtain precise information for this species. We consider its traits to be the same,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,"Handbook of the mammals of the world indicates this is uncertain, as very little is known about the species",1,,,,,NA
Budorcas_taxicolor,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Caipora_bambuiorum,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Craniodental Species,"Cooke, S. B. (2011). Paleodiet of Extinct Platyrrhines With Emphasis on the Caribbean Forms: Three-Dimensional Geometric Morphometrics of Mandibular Second Molars. The Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology, 294(12), 2073â€“2091. https://doi.org/10.1002/ar.21502",,Reported Family,extrapolated based on extant relatives,NA,"Cartelle, C., Hartwig, W. C. 1996. A new extinct primate among the Pleistocene megafauna of Bahia, Brazil. Proc. Natl. Acad. Sci. USA 93: 6405-6409",NA,NA,,NA,soft,,Reported morphology family,NA,3,NA,NA,NA,NA,NA,,,,,NA
Camelops_hesternus,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Observed Species,"Akersten, W. A., Foppe, T. M., & Jeffersons, G. T. (2018). New Source of Dietary Data for Extinct Herbivores. QUATERNARY RESEARCH, 30, 92â€“97. https://doi.org/10.1016/0033-5894(88)90090-7",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,soft,,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Camelus_dromedarius,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Craniodental Species,"Rowan, J., Martini, P., Likius, A., Merceron, G., & Boisserie, J. R. (2018). New Pliocene remains of Camelus grattardi (Mammalia, Camelidae) from the Shungura Formation, Lower Omo Valley, Ethiopia, and the evolution of African camels. Historical Biology, 2963, 1â€“12.; Kohler-Rollefson 1991. Mammalian Species https://doi.org/10.1080/08912963.2017.1423485",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,soft,,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Camelus_ferus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,soft,,Kubo et al. 2019,0,0,0,0,Gregarious,"Uncertain, handbook of the mammals of the world assumes it is similar to wild living dromedary camels",1,,,,,NA
Candiacervus_cretensis,yes,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Reported Family,extrapolated based on extant relatives,NA,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Candiacervus_dorothensis,yes,Assumed isometric based on metacarpal length,Hellenic Journal of Geosciences 41: 127-140 (2006),Candiacervus_cretensis,Hellenic Journal of Geosciences 41: 127-140 (2006),Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Reported Family,extrapolated based on extant relatives,NA,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Candiacervus_major,yes,Assumed isometric based on metacarpal length,Hellenic Journal of Geosciences 41: 127-140 (2006),"Candiacervus_cretensis 000 The paper apparently groups Candiacervus_dorothensis and Candiacervus_major. Here, masses are given based on the minimum and maximum respectively",Hellenic Journal of Geosciences 41: 127-140 (2006),Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Reported Family,extrapolated based on extant relatives,NA,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Candiacervus_rethymnensis,yes,Assumed isometric based on metacarpal length,Hellenic Journal of Geosciences 41: 127-140 (2006),"Candiacervus_cretensis 000 The paper apparently groups Candiacervus_dorothensis and Candiacervus_major. Here, masses are given based on the minimum and maximum respectively",Hellenic Journal of Geosciences 41: 127-140 (2006),Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Reported Family,extrapolated based on extant relatives,NA,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Candiacervus_ropalophorus,yes,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Reported Family,extrapolated based on extant relatives,NA,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Candiacervus_spII,yes,Assumed isometric based on metacarpal length,Hellenic Journal of Geosciences 41: 127-140 (2006),Candiacervus_cretensis,Hellenic Journal of Geosciences 41: 127-140 (2006),Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Reported Family,extrapolated based on extant relatives,NA,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Capra_aegagrus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_caucasica,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_cylindricornis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_falconeri,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_hircus,yes,Reported,"Jones, K.E., et al. 2009. PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology 90:2648.",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_ibex,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_nubiana,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_pyrenaica,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_sibirica,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capra_walie,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capreolus_capreolus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,2,2,0,0,Solitary/pairs,"Roe deer do form congregate now and then (especially in fields). However, as solitary behaviour seems to be the most common we will call the species solitary",1,,,,,NA
Capreolus_miyakoensis,yes,Assumed isometric based on bone size,"Zhen B, Hasegawa Y Capreolus remains, its systematics and paleo-biological problem of Pinza-Azu Cave, Miyako Island, Okinawa, Japan. In: Okinawa Prefectural Board of Education (ed.). Pinza-Abu: Report on excavation of the Pinza-Abu Cave. Okinawa Prefectural Board of Education, Naha, pp. 33-73 (1985)",Capreolus_pygargus,"Zhen B, Hasegawa Y Capreolus remains, its systematics and paleo-biological problem of Pinza-Azu Cave, Miyako Island, Okinawa, Japan. In: Okinawa Prefectural Board of Education (ed.). Pinza-Abu: Report on excavation of the Pinza-Abu Cave. Okinawa Prefectural Board of Education, Naha, pp. 33-73 (1985)",Imputed,No data found,NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Capreolus_pygargus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,See Capreolus capreolus,1,,,,,NA
Capricornis_crispus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,3,0,0,0,Solitary/pairs,NA,1,,,,,NA
Capricornis_milneedwardsii,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Solitary/pairs,NA,88,,,,,NA
Capricornis_rubidus,yes,Assumed isometric based on head-body length,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",Capricornis_sumatraensis,NA,Imputed,NA,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Solitary/pairs,NA,extrapolated.genus.mode,,,,,NA
Capricornis_sumatraensis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,extrapolated.genus.mode,,,,,NA
Capricornis_swinhoei,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,2,0,0,Solitary/pairs,Handbook of the mammals of the world (source 1) assumes it is similar to C. crispus,Extrapolated Proxy,,,,,NA
Capricornis_thar,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Solitary/pairs,NA,89,,,,,NA
CapriniGen_spA,yes,Imputed,PHYLACINE 1.2,NA,NA,Estimated Expert Species,"Faith, J. T. (2014). Late Pleistocene and Holocene mammal extinctions on continental Africa. Earth Science Reviews, 128, 105â€“121. https://doi.org/10.1016/j.earscirev.2013.10.009","Uncertain. The sole evidence for this is the large degree of hypsodonty, but the phylogeny is unresolved so imputation is unlikely to give accurate results.",Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Capromeryx_minor,yes,Reported,"Davis, M. 2017. What North AmericaÌ¢‰âÂ‰ã¢s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Estimated Isotopes (C13) Species,"Bravo-Cuevas, V. M., Jimenez-Hidalgo, E., Cabral-Perdomo, M. A., & Priego-Vargas, J. (2013). Taxonomy and notes on the paleobiology of the late Pleistocene (Rancholabrean) antilocaprids (Mammalia, Artiodactyla, Antilocapridae) from the state of hidalgo, central Mexico. Revista Mexicana de Ciencias Geologicas, 30(3), 601â€“613.",,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Castor_canadensis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,36,NA,Reported Order,2,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters","36, 84, 104",NA,Mouth,,NA,soft,,Kubo et al. 2019,0,0,0,0,Gregarious,NA,36,,,,,NA
Castor_fiber,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,36,NA,Reported Order,2,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters","36, 104",NA,Mouth,,NA,soft,,Kubo et al. 2019,0,0,0,0,Gregarious,NA,36,,,,,NA
Castoroides_ohioensis,yes,Reported,"Davis, M. 2017. What North America‰Û¡Ì_å»s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Estimated Expert Species,"Swinehart, A., & Richards, R. (2001). Palaeoecology of a northeast Indiana wetland harboring remains of the Pleistocene giant beaver (Castoroides ohioensis). â€_Â  of the Indiana Academy of Science, 151â€“166. Retrieved from http://journals.iupui.edu/index.php/ias/article/download/7219/7239","Given its weirdness and size this species is remarkably poorly studied, I could not access any data for this diet",Assumed based on extant relatives,NA,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters",Castorid Phylogenetics: Implications for the Evolution of Swimming and Tree-Exploitation in Beavers,NA,Mouth,,NA,soft,,Reported morphology family,0,0,0,3,NA,NA,NA,Rooting,,,Swineheart & Richards 2001,NA
